date,ibved,cpi,oil_price,rate,exchange_rate,m2,us_cpi,PMI,unemployment,gdp
2004-01-01,1,1,31.29,14.89891983,28.8372946,3205,1,NA,9.10,
2004-02-01,1.008,1.0099,30.87,14,28.51465522,3203,1,NA,9.50,
2004-03-01,1.099728,1.01747425,34.045,14,28.52921999,3324,1.01,NA,8.90,7042.90
2004-04-01,1.11622392,1.027547245,33.4875,14,28.6850813,3410,1.01,NA,8.20,
2004-05-01,1.100596785,1.035151095,37.435,14,28.98917241,3474,1.01,NA,7.60,
2004-06-01,1.149023044,1.043225273,35.2775,13.46557034,29.02971783,3515,1.01,NA,7.50,7042.90
2004-07-01,1.203027127,1.052822946,38.78,13,29.08191421,3671,1.02,NA,7.40,
2004-08-01,1.25596032,1.057244802,43.155,13,29.21926938,3627,1.02,NA,7.30,
2004-09-01,1.269775884,1.061790955,42.2225,13,29.22207935,3650,1.02,NA,7.70,7618.60
2004-10-01,1.24945947,1.073895372,49.935,13,29.06984276,3718,1.02,NA,8.00,
2004-11-01,1.211975686,1.08581561,43.01,13,28.59071611,3788,1.03,NA,8.40,
2004-12-01,1.294390032,1.098193908,39.695,13,27.90381119,3929,1.03,NA,8.30,8309.80
2005-01-01,1.022568125,1.126966589,45.105,13,28.0088419,4354,1.03,NA,8.30,
2005-02-01,1.050177465,1.140828278,44.92,13,27.99515989,4180,1.03,NA,8.30,
2005-03-01,1.147843969,1.156115377,52.78,13,27.62613374,4301,1.04,NA,8.00,8436.60
2005-04-01,1.158174565,1.169063869,51.86,13,27.81028321,4463,1.04,NA,7.60,
2005-05-01,1.135011073,1.17841638,49.105,13,27.95117234,4578,1.04,NA,7.30,
2005-06-01,1.204246749,1.185958245,53.8825,13,28.49758798,4678,1.04,NA,7.30,7435.60
2005-07-01,1.264459086,1.191413653,57.005,13,28.69431275,4915,1.04,NA,7.30,
2005-08-01,1.31503745,1.189745673,64.725,13,28.47967824,4974,1.05,NA,7.20,
2005-09-01,1.333447974,1.192720038,62.505,13,28.37977999,5118,1.06,NA,7.30,8076.70
2005-10-01,1.332114526,1.199279998,58.39,13,28.56304936,5275,1.07,NA,7.40,
